2009/12/02_14:27:21 1259760441 1.55 0.82 0.45 137 2712M 4096M 1499M 9870M
2009/12/02_14:27:31 1259760451 1.43 0.81 0.45 145 2710M 4096M 1501M 9868M
2009/12/02_14:27:41 1259760461 2.11 0.97 0.51 141 2712M 4096M 1499M 9870M
2009/12/02_14:27:51 1259760471 1.98 0.98 0.52 144 2711M 4096M 1505M 9864M
2009/12/02_14:28:01 1259760481 2.55 1.13 0.57 137 2712M 4096M 1503M 9866M
2009/12/02_14:28:11 1259760491 2.33 1.13 0.58 138 2712M 4096M 1503M 9866M
2009/12/02_14:28:21 1259760501 2.74 1.25 0.62 139 2712M 4096M 1504M 9865M
2009/12/02_14:28:31 1259760511 2.68 1.29 0.64 142 2711M 4096M 1505M 9864M
2009/12/02_14:28:41 1259760521 2.43 1.27 0.64 143 2711M 4096M 1505M 9864M
2009/12/02_14:28:51 1259760531 3.13 1.47 0.72 139 2712M 4096M 1504M 9865M
2009/12/02_14:29:01 1259760541 2.79 1.45 0.72 143 2710M 4096M 1505M 9864M
2009/12/02_14:29:11 1259760551 3.64 1.69 0.81 139 2712M 4096M 1504M 9866M
2009/12/02_14:29:21 1259760561 3.81 1.80 0.86 139 2712M 4096M 1503M 9866M
2009/12/02_14:29:31 1259760571 3.25 1.75 0.85 138 2712M 4096M 1503M 9866M
2009/12/02_14:29:41 1259760581 3.80 1.92 0.92 139 2712M 4096M 1503M 9866M
2009/12/02_14:29:51 1259760591 4.80 2.20 1.02 139 2712M 4096M 1499M 9870M
2009/12/02_14:30:00 1259760600 5.31 2.38 1.10 148 2710M 4096M 1501M 9868M
2009/12/02_14:30:10 1259760610 4.54 2.31 1.09 141 2711M 4096M 1500M 9869M
2009/12/02_14:30:20 1259760620 4.87 2.45 1.15 140 2711M 4096M 1500M 9869M
2009/12/02_14:30:30 1259760630 5.56 2.66 1.23 147 2710M 4096M 1501M 9867M
2009/12/02_14:30:40 1259760640 6.19 2.87 1.32 140 2711M 4096M 1500M 9869M
2009/12/02_14:30:51 1259760651 6.75 3.09 1.41 139 2711M 4096M 1803M 9565M
2009/12/02_14:31:00 1259760660 5.93 3.03 1.41 139 2711M 4096M 1500M 9869M
2009/12/02_14:31:10 1259760670 5.32 3.00 1.42 138 2711M 4096M 1499M 9869M
2009/12/02_14:31:20 1259760680 5.14 3.04 1.45 138 2711M 4096M 1500M 9869M
2009/12/02_14:31:30 1259760690 5.73 3.25 1.54 141 2711M 4096M 1500M 9869M
2009/12/02_14:31:40 1259760700 6.43 3.48 1.64 139 2711M 4096M 1499M 9870M
2009/12/02_14:31:50 1259760710 6.69 3.64 1.71 142 2711M 4096M 1500M 9869M
2009/12/02_14:32:00 1259760720 5.79 3.55 1.70 145 2710M 4096M 1505M 9864M
2009/12/02_14:32:10 1259760730 5.64 3.59 1.73 136 2712M 4096M 1502M 9866M
2009/12/02_14:32:20 1259760740 6.25 3.79 1.82 136 2712M 4096M 1502M 9867M
2009/12/02_14:32:30 1259760750 7.09 4.04 1.93 136 2712M 4096M 1502M 9867M
2009/12/02_14:32:40 1259760760 7.57 4.22 2.02 135 2713M 4096M 1501M 9868M
2009/12/02_14:32:50 1259760770 7.16 4.24 2.04 135 2713M 4096M 1502M 9867M
2009/12/02_14:33:01 1259760781 6.47 4.19 2.05 132 2713M 4096M 1501M 9868M
2009/12/02_14:33:12 1259760792 6.07 4.18 2.07 133 2713M 4096M 1501M 9868M
2009/12/02_14:33:21 1259760801 5.28 4.07 2.06 134 2713M 4096M 1502M 9868M
2009/12/02_14:33:31 1259760811 5.59 4.19 2.12 141 2712M 4096M 1503M 9866M
2009/12/02_14:33:41 1259760821 6.15 4.37 2.21 131 2713M 4096M 1501M 9868M
2009/12/02_14:33:51 1259760831 6.93 4.61 2.31 133 2713M 4096M 1497M 9872M
2009/12/02_14:34:01 1259760841 6.57 4.61 2.34 134 2713M 4096M 1497M 9872M
2009/12/02_14:34:11 1259760851 5.78 4.51 2.33 134 2713M 4096M 1497M 9872M
2009/12/02_14:34:21 1259760861 6.38 4.68 2.41 132 2713M 4096M 1497M 9872M
2009/12/02_14:34:31 1259760871 6.32 4.72 2.45 133 2713M 4096M 1497M 9872M
2009/12/02_14:34:41 1259760881 5.39 4.57 2.43 134 2713M 4096M 1497M 9872M
2009/12/02_14:34:51 1259760891 6.03 4.73 2.50 134 2713M 4096M 1497M 9872M
2009/12/02_14:35:00 1259760900 5.87 4.73 2.52 145 2708M 4096M 1502M 9867M
2009/12/02_14:35:10 1259760910 5.07 4.60 2.50 133 2713M 4096M 1497M 9872M
2009/12/02_14:35:20 1259760920 5.88 4.77 2.58 133 2713M 4096M 1497M 9872M
2009/12/02_14:35:31 1259760931 6.22 4.86 2.64 132 2713M 4096M 1497M 9872M
2009/12/02_14:35:40 1259760940 5.40 4.73 2.62 130 2714M 4096M 1497M 9872M
2009/12/02_14:35:50 1259760950 4.64 4.59 2.60 130 2714M 4096M 1496M 9873M
2009/12/02_14:36:00 1259760960 5.22 4.73 2.67 135 2713M 4096M 1497M 9872M
2009/12/02_14:36:10 1259760970 5.25 4.75 2.70 132 2713M 4096M 1497M 9872M
2009/12/02_14:36:20 1259760980 4.78 4.68 2.70 133 2713M 4096M 1497M 9872M
2009/12/02_14:36:30 1259760990 5.38 4.81 2.76 139 2712M 4096M 1498M 9870M
2009/12/02_14:36:40 1259761000 5.34 4.82 2.79 133 2713M 4096M 1501M 9868M
2009/12/02_14:36:50 1259761010 4.61 4.68 2.77 131 2713M 4096M 1501M 9869M
2009/12/02_14:37:00 1259761020 4.89 4.75 2.80 132 2713M 4096M 1501M 9868M
2009/12/02_14:37:10 1259761030 5.79 4.93 2.89 133 2713M 4096M 1501M 9868M
2009/12/02_14:37:20 1259761040 6.70 5.14 2.98 132 2713M 4096M 1501M 9868M
2009/12/02_14:37:30 1259761050 6.68 5.18 3.02 131 2713M 4096M 1501M 9868M
2009/12/02_14:37:40 1259761060 5.74 5.04 3.00 131 2713M 4096M 1501M 9868M
2009/12/02_14:37:50 1259761070 6.23 5.15 3.06 132 2714M 4096M 1501M 9868M
2009/12/02_14:38:01 1259761081 6.98 5.32 3.14 140 2712M 4096M 1498M 9871M
2009/12/02_14:38:12 1259761092 7.35 5.45 3.21 133 2713M 4096M 1497M 9871M
2009/12/02_14:38:21 1259761101 6.39 5.30 3.18 134 2713M 4096M 1497M 9872M
2009/12/02_14:38:31 1259761111 5.55 5.16 3.16 135 2713M 4096M 1497M 9872M
2009/12/02_14:38:41 1259761121 5.68 5.21 3.20 133 2713M 4096M 1497M 9872M
2009/12/02_14:38:51 1259761131 6.38 5.39 3.28 134 2713M 4096M 1497M 9872M
2009/12/02_14:39:00 1259761140 5.90 5.31 3.27 142 2711M 4096M 1499M 9870M
2009/12/02_14:39:10 1259761150 5.34 5.21 3.27 135 2713M 4096M 1498M 9871M
2009/12/02_14:39:20 1259761160 5.86 5.33 3.32 131 2713M 4096M 1497M 9872M
2009/12/02_14:39:30 1259761170 6.04 5.38 3.36 141 2712M 4096M 1498M 9871M
2009/12/02_14:39:40 1259761180 5.18 5.22 3.33 135 2712M 4096M 1498M 9871M
2009/12/02_14:44:10 1259761451 0.79 2.42 2.60 134 2713M 4096M 1497M 9873M
2009/12/02_14:44:21 1259761461 0.84 2.38 2.58 139 2710M 4096M 1499M 9870M
2009/12/02_14:44:30 1259761470 0.91 2.34 2.57 132 2713M 4096M 1497M 9873M
2009/12/02_14:44:40 1259761481 0.87 2.29 2.55 134 2713M 4096M 1497M 9872M
2009/12/02_14:44:50 1259761490 0.83 2.23 2.52 138 2712M 4096M 1498M 9871M
