2009/12/02_14:27:11 1259760431 746 300 
2009/12/02_14:27:21 1259760441 776 300 300
2009/12/02_14:27:31 1259760451 805 300 290
2009/12/02_14:27:41 1259760461 835 300 300
2009/12/02_14:27:51 1259760471 865 300 300
2009/12/02_14:28:01 1259760481 895 300 300
2009/12/02_14:28:11 1259760491 924 300 290
2009/12/02_14:28:21 1259760501 954 300 300
2009/12/02_14:28:31 1259760511 987 300 330
2009/12/02_14:28:41 1259760521 1013 300 260
2009/12/02_14:28:51 1259760531 1028 300 150
2009/12/02_14:29:01 1259760541 1053 300 250
2009/12/02_14:29:11 1259760551 1083 296 300
2009/12/02_14:29:21 1259760561 1113 296 300
2009/12/02_14:29:31 1259760571 1143 292 300
2009/12/02_14:29:41 1259760581 1173 289 300
2009/12/02_14:29:51 1259760591 1203 286 300
2009/12/02_14:30:00 1259760600 1233 286 333
2009/12/02_14:30:10 1259760610 1263 286 300
2009/12/02_14:30:20 1259760620 1293 283 300
2009/12/02_14:30:30 1259760630 1323 279 300
2009/12/02_14:30:40 1259760640 1353 277 300
2009/12/02_14:30:51 1259760651 1383 276 272
2009/12/02_14:31:00 1259760660 1401 275 200
2009/12/02_14:31:10 1259760670 1414 273 130
2009/12/02_14:31:20 1259760680 1444 271 300
2009/12/02_14:31:30 1259760690 1474 270 300
2009/12/02_14:31:40 1259760700 1504 270 300
2009/12/02_14:31:50 1259760710 1534 270 300
2009/12/02_14:32:00 1259760720 1564 270 300
2009/12/02_14:32:10 1259760730 1594 270 300
2009/12/02_14:32:20 1259760740 1624 270 300
2009/12/02_14:32:30 1259760750 1654 270 300
2009/12/02_14:32:40 1259760760 1684 270 300
2009/12/02_14:32:50 1259760770 1714 270 300
2009/12/02_14:33:01 1259760781 1744 270 272
2009/12/02_14:33:12 1259760792 1774 270 272
2009/12/02_14:33:21 1259760801 1799 270 277
2009/12/02_14:33:31 1259760811 1804 270 50
2009/12/02_14:33:41 1259760821 1834 270 300
2009/12/02_14:33:51 1259760831 1864 270 300
2009/12/02_14:34:00 1259760841 1894 270 300
2009/12/02_14:34:10 1259760850 1924 270 333
2009/12/02_14:34:20 1259760860 1954 270 300
2009/12/02_14:34:30 1259760871 1984 270 272
2009/12/02_14:34:40 1259760881 2014 270 300
2009/12/02_14:34:50 1259760891 2044 270 300
2009/12/02_14:35:00 1259760900 2074 270 333
2009/12/02_14:35:10 1259760910 2104 270 300
2009/12/02_14:35:20 1259760920 2134 270 300
2009/12/02_14:35:30 1259760931 2164 270 272
2009/12/02_14:35:40 1259760940 2180 270 177
2009/12/02_14:35:50 1259760950 2199 270 190
2009/12/02_14:36:00 1259760960 2229 270 300
2009/12/02_14:36:10 1259760970 2259 270 300
2009/12/02_14:36:20 1259760980 2289 270 300
2009/12/02_14:36:30 1259760990 2319 270 300
2009/12/02_14:36:40 1259761000 2349 270 300
2009/12/02_14:36:50 1259761010 2379 270 300
2009/12/02_14:37:00 1259761020 2409 270 300
2009/12/02_14:37:10 1259761030 2439 270 300
2009/12/02_14:37:20 1259761040 2469 270 300
2009/12/02_14:37:30 1259761050 2499 270 300
2009/12/02_14:37:40 1259761060 2529 270 300
2009/12/02_14:37:51 1259761071 2559 270 272
2009/12/02_14:38:01 1259761081 2589 270 300
2009/12/02_14:38:12 1259761092 2619 270 272
2009/12/02_14:38:21 1259761101 2642 270 255
2009/12/02_14:38:31 1259761111 2653 270 110
2009/12/02_14:38:41 1259761121 2683 270 300
2009/12/02_14:38:51 1259761131 2713 270 300
2009/12/02_14:39:00 1259761140 2743 270 333
2009/12/02_14:39:10 1259761150 2773 270 300
2009/12/02_14:39:20 1259761160 2803 270 300
2009/12/02_14:39:30 1259761170 2833 270 300
2009/12/02_14:39:40 1259761180 2863 270 300
2009/12/02_14:44:10 1259761450 30 3000 -1049
2009/12/02_14:44:20 1259761460 60 586 300
2009/12/02_14:44:30 1259761470 90 442 300
2009/12/02_14:44:40 1259761480 120 380 300
2009/12/02_14:44:50 1259761490 150 360 300
